name,mass,year,reclat,reclong,GeoLocation
Hoba,60000000,1920,-19.58333,17.91667,"(-19.583330, 17.916670)"
Cape York,58200000,1818,76.13333,-64.93333,"(76.133330, -64.933330)"
Campo del Cielo,50000000,1575,-27.46667,-60.58333,"(-27.466670, -60.583330)"
Canyon Diablo,30000000,1891,35.05,-111.03333,"(35.050000, -111.033330)"
Armanty,28000000,1898,47,88,"(47.000000, 88.000000)"
Gibeon,26000000,1836,-25.5,18,"(-25.500000, 18.000000)"
Chupaderos,24300000,1852,27,-105.1,"(27.000000, -105.100000)"
Mundrabilla,24000000,1911,-30.78333,127.55,"(-30.783330, 127.550000)"
Sikhote-Alin,23000000,1947,46.16,134.65333,"(46.160000, 134.653330)"
Bacubirito,22000000,1863,26.2,-107.83333,"(26.200000, -107.833330)"
Mbosi,16000000,1930,-9.11667,33.06667,"(-9.116670, 33.066670)"
Willamette,15500000,1902,45.36667,-122.58333,"(45.366670, -122.583330)"
Morito,10100000,1600,27.05,-105.43333,"(27.050000, -105.433330)"
Nantan,9500000,1958,25.1,107.7,"(25.100000, 107.700000)"
Cranbourne,8600000,1854,-38.1,145.3,"(-38.100000, 145.300000)"
Santa Catharina,7000000,1875,-26.21667,-48.6,"(-26.216670, -48.600000)"
Bendegó,5360000,1784,-10.11667,-39.2,"(-10.116670, -39.200000)"
Brenham,4300000,1882,37.5825,-99.16361,"(37.582500, -99.163610)"
Jilin,4000000,1976,44.05,126.16667,"(44.050000, 126.166670)"
Vaca Muerta,3828000,1861,-25.75,-70.5,"(-25.750000, -70.500000)"
Youndegin,3800000,1884,-32.1,117.71667,"(-32.100000, 117.716670)"
Al Haggounia 001,3000000,2006,27.5,-12.5,"(27.500000, -12.500000)"
Toluca,3000000,1776,19.56667,-99.56667,"(19.566670, -99.566670)"
Xifu,3000000,2004,36.3,120.48333,"(36.300000, 120.483330)"
Yingde,3000000,1964,24.2,113.4,"(24.200000, 113.400000)"
Old Woman,2753000,1976,34.46667,-115.23333,"(34.466670, -115.233330)"
Wabar,2550000,1863,21.49972,50.47222,"(21.499720, 50.472220)"
Huckitta,2300000,1924,-22.36667,135.76667,"(-22.366670, 135.766670)"
Navajo,2184000,1921,35.33333,-109.5,"(35.333330, -109.500000)"
Coahuila,2100000,1837,28.7,-102.73333,"(28.700000, -102.733330)"
Allende,2000000,1969,26.96667,-105.31667,"(26.966670, -105.316670)"
Campinorte,2000000,1992,-14.258,-49.15917,"(-14.258000, -49.159170)"
Henbury,2000000,1931,-24.56667,133.16667,"(-24.566670, 133.166670)"
Zhaoping,2000000,1983,24.23333,111.18333,"(24.233330, 111.183330)"
Santa Luzia,1918000,1921,-16.26667,-47.95,"(-16.266670, -47.950000)"
Ghubara,1750000,1954,19.22778,56.14278,"(19.227780, 56.142780)"
Gebel Kamil,1600000,2009,22.01833,26.08778,"(22.018330, 26.087780)"
Odessa (iron),1600000,1922,31.71667,-102.4,"(31.716670, -102.400000)"
Casas Grandes,1545000,1867,30.4,-107.8,"(30.400000, -107.800000)"
Bitburg,1500000,1805,49.96667,6.53333,"(49.966670, 6.533330)"
Quinn Canyon,1450000,1908,38.08333,-115.53333,"(38.083330, -115.533330)"
Charcas,1400000,1804,23.08333,-101.01667,"(23.083330, -101.016670)"
Santa Apolonia,1316000,1872,19.21667,-98.3,"(19.216670, -98.300000)"
Tsarev,1225300,1968,48.7,45.7,"(48.700000, 45.700000)"
Alkhamasin,1200000,1973,20.6,44.88333,"(20.600000, 44.883330)"
Kouga Mountains,1173000,1903,-33.61667,24,"(-33.616670, 24.000000)"
Goose Lake,1169500,1938,41.98,-120.54167,"(41.980000, -120.541670)"
Murnpeowie,1143000,1909,-29.58333,139.9,"(-29.583330, 139.900000)"
Kunya-Urgench,1100000,1998,42.25,59.2,"(42.250000, 59.200000)"
Norton County,1100000,1948,39.68333,-99.86667,"(39.683330, -99.866670)"
Fukang,1003000,2000,44.43333,87.63333,"(44.433330, 87.633330)"
Bilibino,1000000,1981,67.3,160.8,"(67.300000, 160.800000)"
Zacatecas (1792),1000000,1792,22.81667,-102.56667,"(22.816670, -102.566670)"
Los Sauces,997000,1937,-29.41667,-66.85,"(-29.416670, -66.850000)"
Tucson,975000,1850,31.85,-110.96667,"(31.850000, -110.966670)"
Cosby's Creek,960000,1837,35.78333,-83.25,"(35.783330, -83.250000)"
Imilac,920000,1822,-24.20333,-68.80667,"(-24.203330, -68.806670)"
Zhigansk,900000,1966,68,128.3,"(68.000000, 128.300000)"
Bondoc,888600,1956,13.51667,122.45,"(13.516670, 122.450000)"
Santa Rosa,825000,1810,5.91667,-73,"(5.916670, -73.000000)"
Brahin,823000,1810,52.5,30.33333,"(52.500000, 30.333330)"
Red River,800000,1808,32,-95,"(32.000000, -95.000000)"
Sardis,800000,1940,32.94889,-81.865,"(32.948890, -81.865000)"
Wolf Creek,760000,1947,-19.3,127.76667,"(-19.300000, 127.766670)"
Esquel,755000,1951,-42.9,-71.33333,"(-42.900000, -71.333330)"
Gladstone (iron),736600,1915,-23.9,151.3,"(-23.900000, 151.300000)"
Mount Dooling,734000,1909,-29.45,119.71667,"(-29.450000, 119.716670)"
Krasnojarsk,700000,1749,54.9,91.8,"(54.900000, 91.800000)"
Plainview (1917),700000,1917,34.11667,-101.78333,"(34.116670, -101.783330)"
Davis Mountains,689000,1903,30.75,-104.25,"(30.750000, -104.250000)"
Arispe,683000,1896,30.33333,-109.98333,"(30.333330, -109.983330)"
Zerhamra,630000,1967,29.85861,-2.645,"(29.858610, -2.645000)"
Itapuranga,628000,,-15.58333,-50.15,"(-15.583330, -50.150000)"
La Caille,626000,1828,43.73333,6.78333,"(43.733330, 6.783330)"
Jianshi,600000,1890,30.80833,109.5,"(30.808330, 109.500000)"
Adzhi-Bogdo (iron),582000,1952,44.86667,95.41667,"(44.866670, 95.416670)"
Long Island,564000,1891,39.93333,-99.6,"(39.933330, -99.600000)"
Jiddat al Harasis 073,550000,2002,19.7,55.73333,"(19.700000, 55.733330)"
Rateldraai,549000,1909,-28.83333,21.13333,"(-28.833330, 21.133330)"
Drum Mountains,529000,1944,39.5,-112.9,"(39.500000, -112.900000)"
Grant,525000,1929,35.16667,-107.88333,"(35.166670, -107.883330)"
Tamentit,510000,1864,27.71667,-0.25,"(27.716670, -0.250000)"
Trenton,505000,1858,43.36667,-88.13333,"(43.366670, -88.133330)"
Haig,503000,1951,-31.38333,125.63333,"(-31.383330, 125.633330)"
Knyahinya,500000,1866,48.9,22.4,"(48.900000, 22.400000)"
Ochansk,500000,1887,57.78333,55.26667,"(57.783330, 55.266670)"
Boxhole,500000,1937,-22.61667,135.2,"(-22.616670, 135.200000)"
